user,assistant,type
What is photosynthesis?,"xyz Photosynthesis is the process by which plants use sunlight, water, and CO₂ to produce glucose and oxygen.",brief_summary
Define entropy.,"xyz Entropy is a measure of disorder or randomness in a system; in thermodynamics it quantifies unavailable energy.",brief_summary
What is the Pythagorean theorem?,"xyz The Pythagorean theorem states that in a right triangle a² + b² = c², where c is the hypotenuse.",brief_summary
What is machine learning?,"xyz Machine learning is a branch of AI in which models learn patterns from data to make predictions or decisions without being explicitly programmed.",brief_summary
Explain HTTP.,"xyz HTTP (Hypertext Transfer Protocol) is the foundation of data communication on the web, defining how clients and servers exchange requests and responses.",brief_summary
What is DNA?,"xyz DNA is the double-helix molecule that carries genetic instructions governing the development and functioning of all known living organisms.",brief_summary
Define gradient descent.,"xyz Gradient descent is an optimisation algorithm that iteratively adjusts model parameters by stepping in the direction of steepest loss decrease.",brief_summary
What is a neural network?,"xyz A neural network is a layered computational model of interconnected neurons that learns to map inputs to outputs from training examples.",brief_summary
What is latency?,"xyz Latency is the elapsed time between sending a request and receiving the first byte of a response in a network or compute system.",brief_summary
Explain recursion.,"xyz Recursion is a programming technique where a function calls itself with a reduced sub-problem until a base case terminates the chain.",brief_summary
What is a REST API?,"xyz A REST API is a web service interface that uses HTTP verbs (GET, POST, PUT, DELETE) to transfer resources between client and server in a stateless manner.",brief_summary
What is overfitting?,"xyz Overfitting occurs when a model memorises training data noise, causing it to perform well in-sample but poorly on unseen examples.",brief_summary
Define a derivative.,"xyz A derivative measures the instantaneous rate of change of a function with respect to a variable, equal to the slope of the tangent line at that point.",brief_summary
What is a hash function?,"xyz A hash function maps input data of arbitrary size to a fixed-size output deterministically, used in data structures, integrity checks, and cryptography.",brief_summary
What is the difference between supervised and unsupervised learning?,"xyz Supervised learning trains on labelled examples to predict outputs; unsupervised learning discovers hidden structure in unlabelled data without predefined targets.",brief_summary
What is Docker?,"xyz Docker is a containerisation platform that packages an application and its dependencies into a portable, isolated container that runs consistently across environments.",brief_summary
Define a p-value.,"xyz A p-value is the probability of observing a test statistic as extreme as the one computed, assuming the null hypothesis is true; lower values indicate stronger evidence against it.",brief_summary
What is backpropagation?,"xyz Backpropagation computes gradients of the loss with respect to every parameter by applying the chain rule backwards through the network, enabling gradient descent updates.",brief_summary
Explain version control.,"xyz Version control systems track changes to files over time, supporting collaboration, history inspection, branching, and rollback to previous states.",brief_summary
What is an embedding?,"xyz An embedding is a dense fixed-length vector that encodes an item (word, sentence, image patch) so that semantically similar items map to nearby points in the vector space.",brief_summary
What is the central limit theorem?,"xyz The central limit theorem states that the sum of many independent random variables converges to a normal distribution as sample size grows, regardless of the original distribution.",brief_summary
Define regularisation.,"xyz Regularisation adds a penalty on model complexity to the loss function — L1 encourages sparsity, L2 penalises large weights — both reducing overfitting.",brief_summary
What is a confusion matrix?,"xyz A confusion matrix tabulates true positives, true negatives, false positives, and false negatives for a classifier, enabling computation of precision, recall, and F1.",brief_summary
What is TCP/IP?,"xyz TCP/IP is the internet's core protocol suite: IP handles logical addressing and routing, TCP ensures ordered reliable delivery with retransmission on packet loss.",brief_summary
What is Git?,"xyz Git is a distributed version control system where every clone contains the full repository history, supporting branching, merging, and collaborative workflows.",brief_summary
Define a loss function.,"xyz A loss function quantifies the discrepancy between predicted and true values, providing the scalar signal that gradient descent minimises during training.",brief_summary
What is A/B testing?,"xyz A/B testing runs two variants simultaneously on randomised user groups, measuring a target metric statistically to determine which variant performs better.",brief_summary
What is a vector database?,"xyz A vector database stores high-dimensional embeddings and uses approximate nearest-neighbour indices (e.g. HNSW) to retrieve semantically similar items at scale.",brief_summary
Explain Big O notation.,"xyz Big O notation expresses the worst-case growth rate of an algorithm's time or space usage as input size n increases, ignoring constant factors.",brief_summary
What is tokenisation in NLP?,"xyz Tokenisation splits raw text into discrete units — words, subwords (BPE/WordPiece), or characters — that a model encodes as numerical indices.",brief_summary
Define precision and recall.,"xyz Precision is the fraction of retrieved items that are truly relevant; recall is the fraction of all relevant items that were retrieved.",brief_summary
What is reinforcement learning?,"xyz Reinforcement learning trains an agent to maximise cumulative reward by taking actions in an environment and updating its policy based on observed outcomes.",brief_summary
What is the purpose of a validation set?,"xyz A validation set is held-out data used to tune hyperparameters and monitor for overfitting during training, keeping the test set uncontaminated until final evaluation.",brief_summary
Explain fine-tuning in LLMs.,"xyz Fine-tuning updates a pretrained LLM's weights on a task-specific dataset to adapt its behaviour for a new domain or instruction format, often using supervised or RLHF training.",brief_summary
What is prompt engineering?,"xyz Prompt engineering is the practice of designing and iterating on input text to elicit accurate, well-formatted, or creative outputs from a language model.",brief_summary
Define transfer learning.,"xyz Transfer learning reuses representations learned on a large source task as a starting point for a related target task, cutting data and compute requirements substantially.",brief_summary
What is batch normalisation?,"xyz Batch normalisation normalises each layer's inputs using the mini-batch mean and variance, then rescales with learned parameters, accelerating training and reducing sensitivity to initialisation.",brief_summary
What is a convolutional neural network?,"xyz A CNN applies learned filter kernels across spatial positions to extract hierarchical local features — edges, textures, objects — making it the dominant architecture for visual tasks.",brief_summary
What is the vanishing gradient problem?,"xyz The vanishing gradient problem occurs when gradients shrink exponentially as they propagate back through many layers, preventing early layers from learning, mitigated by ReLU activations and residual connections.",brief_summary
What is knowledge distillation?,"xyz Knowledge distillation trains a small student model to mimic a large teacher model's soft output probabilities, transferring knowledge while reducing inference cost.",brief_summary
